"","x","1N01T","1N02T","1N03T","1N04T","1N05T","1N06T","1N07T","1N08T","1N09T","1N10T","1N11T","1N12T","1N13T","1N14T","1S01T","1S02T","1S03T","1S04T","1S05T","1S06T","1S07T","1S08T","1S09T","2N01T","2N02T","2N03T","2N04T","2N05T","2N06T","2N07T","2N08T","2N09T","2N10T","2N11T","2N12T","2N13T","2N14T","2S01T","2S03T","2S04T","2S05T","2S06T","2S07T","2S08T","2S09T","3N01T","3N02T","3N03T","3S01T","3S02T","3S03T","3S04T"
"444",444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,,
"445",445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,
"446",446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,
"447",447,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"448",448,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"449",449,,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"450",450,,,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"451",451,,,,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"452",452,,,,,,,,,,,,,,,,,,,,,,,,"064675",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"453",453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064706",,,,,,,,,,,,,,
"454",454,,,,,,,,,,,,,,,,,,,,,,,,"064708",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"455",455,,,,,,,,,,,,,,,"064710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"456",456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064874",,,,,,,,,,,,,,
"457",457,,,,,,,,,,,,,,,,,,,,,,,,"064907",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"458",458,,,,,,,,,,,,,,,,,,,,,,,,"064965",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"459",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"065132",,,,,,,,,,,,,,
"460",460,,,,,,,,,,,,,,,,,,,,,,,,"065518",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"461",461,,,,,,,,,,,,,,,,,,,,,,,,"065566",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"462",462,,,,,,,,,,,,,,,,,,,,,,,,"065651",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"463",463,,,,,,,,,,,,,,,,,,,,,,,,"066113",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"464",464,,,,,,,,,,,,,,,"066225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"465",465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"066290",,,,,,,,,,,,,,,,,,
"466",466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"066446",,,,,,,,
"467",467,,,,,,,,,,,,,,,,,,,,,,,,"066565",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"468",468,,,,,,,,,,,,,,,,,,,,,,,,"066735",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"469",469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"066958"
"470",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,"068363",,,,,,,,,,,,,,,,,,,,,,,,
"471",471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"068688",,,,,,,,,,,,,,,,,,
"472",472,,,,,,,,,,,,,,,,,"069322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"473",473,,,,,,,,,,,,,,,,"069430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"474",474,,,,,,,,,,,,,,,,,,"070271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"475",475,,,,,,,,,,,,,,,,"070321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"476",476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"070490",,,,,,,,
"477",477,,,,,,,,,,,,,,,,,,"070676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"478",478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"070726",,,,,,,,
"479",479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"070743",,,
"480",480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"071253"
"481",481,,,,,,,,,,,,,,,,,,"071260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"482",482,,,,,,,,,,,,,,,,"071708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"483",483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"074511",,,,,,,,
"484",484,,,,,,,,,,,,,,,"074856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"485",485,,"074859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"486",486,,,,"074986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"487",487,,,,,,,,"075344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"488",488,,,,,,,,,,,,,,,,,,,,,,,,"075377",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"489",489,,,,,,,,,,,,,,,,,,,,"075533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"490",490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"075718",,,,,,,,,,,,,,,,,,
"491",491,,,,,,,,,,,,,"075849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"492",492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"076097",,,,,,,,,,,,,
"493",493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"076213",,,,,,,,,,,,,
"494",494,,,,,,,,,,,,,,,,,,,,,,,,"076566",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"495",495,,,,,,,,,,,,,,,,,,,"076694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
