"","x","1N01T","1N02T","1N03T","1N04T","1N05T","1N06T","1N07T","1N08T","1N09T","1N10T","1N11T","1N12T","1N13T","1N14T","1S01T","1S02T","1S03T","1S04T","1S05T","1S06T","1S07T","1S08T","1S09T","2N01T","2N02T","2N03T","2N04T","2N05T","2N06T","2N07T","2N08T","2N09T","2N10T","2N11T","2N12T","2N13T","2N14T","2S01T","2S03T","2S04T","2S05T","2S06T","2S07T","2S08T","2S09T","3N01T","3N02T","3N03T","3S01T","3S02T","3S03T","3S04T"
"121",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"023471",,,,,,,,,,,,,,,,,,,,,
"122",122,,,,,,,,,,,,,,,"023648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"023755",,,,,,,,,,,,,,,,,,
"124",124,,,,,,,,,,,,,,,"024047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"125",125,"025597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"126",126,,,,,,,,,,,,,,,"025637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"127",127,,,,,,,,,,,,,,,"025638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"128",128,,,,,,,,"025647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"129",129,,,,,,,,,,,,,,,,,,,,,,,,,,"025649",,,,,,,,,,,,,,,,,,,,,,,,,,
"130",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"025984",,,
"131",131,,,,,,,,,,,,,,,"026058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"132",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026391",
"133",133,,,,,,,,,,,"026564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"134",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026564",,,,,,,,,,,,,,,,,,
"135",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026860",,,
"136",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,,,,
"137",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,,,
"138",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,,
"139",139,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,
"141",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,
"142",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,
"143",143,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"144",144,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"145",145,,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"146",146,,,,,,,,,,,,,,,,,,,,,,"026861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"147",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026862",,,,,,,
"148",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026862",,,,,,,,
"149",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026863",,,,,,,,,,,,,,,,,,,,,,,
"150",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026864",,,,,,,,,,,,,,,,,,,,,,,,
"151",151,,,,,,,,,,,,,,,,,,,,,,,,,,,"026864",,,,,,,,,,,,,,,,,,,,,,,,,
"152",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026864",,,,
"153",153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"026864",,,,,
"154",154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"027018",,,
"155",155,,,"027249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"156",156,,,,,,,,,,,,,,,,,,"027277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"157",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"027397",,
"158",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"027397",
"159",159,,,,,,,,,,,,,,,"027521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"160",160,,,,,,,,,,,,,,,,,,,,,,,,,"027549",,,,,,,,,,,,,,,,,,,,,,,,,,,
"161",161,,,,,,,,,,,,,,,,,,,,,,,,,,"027549",,,,,,,,,,,,,,,,,,,,,,,,,,
"162",162,,,,,,,,,,,,,,,,,,,,,,,,,,,"027549",,,,,,,,,,,,,,,,,,,,,,,,,
"163",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,"027549",,,,,,,,,,,,,,,,,,,,,,,,
"164",164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"027549",,,,,,,,,,,,,,,,,,,,,,,
"165",165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"027549",,,,,
"166",166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"027549",,,,
"167",167,,,,,,,,,,,,,,,,"027848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"168",168,,,,,,,,,,,,,,,"027858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"169",169,,,,,,,,,,,,,,,,,,,"028109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"170",170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"028800",,,,,,,,,,,,,,,
"171",171,,,,"029657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"172",172,,,,,,,,,,,,,,,,,,,,,,,,,,,"029800",,,,,,,,,,,,,,,,,,,,,,,,,
"173",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"029837"
"174",174,,,,,,,,,,,,,"030593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"175",175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"030903",,,
"176",176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031009",,,,,,,,,,,,,,,,,,
"177",177,,,,,,,,,,,"031010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"178",178,,,,,,,,,,,"031033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"179",179,,,,,,,,,,"031033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"180",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031033",,,,,,,,,,,,,,,,,,
"181",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031033",,,,,,,,,,,,,,,,,,,
"182",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"031033",,,,,,,,,,,,,,,,,
