"","solicitacao","localizacao","descricao","tempo_abertura","tempo_falha","tempo_encerramento","cmt","tempo_duracao","cdv"
"337",70726,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 2S08T",2018-01-12 13:04:00,2018-01-12 13:00:00,2018-01-12 21:33:00,"RECS",30540s (~8.48 hours),"2S08T"
"338",70743,"SINCDVRECSUL","FALSA OCUPACAO NO CDV 3S01T",2018-01-12 17:25:00,2018-01-12 17:20:00,2018-01-12 22:32:00,"RECS",18420s (~5.12 hours),"3S01T"
"339",71253,"SINCDVREC","FALSA OCUPACAO NO CDV 3S04-T",2018-01-27 07:59:00,2018-01-27 07:30:00,2018-01-29 11:11:00,NA,184320s (~2.13 days),"3S04T"
"340",71260,"SINCDVJOASUL","FALSA OCUPACAO NO CDV 1S04T INTERMITENTE",2018-01-27 13:10:00,2018-01-27 12:45:00,2018-01-29 11:12:00,"RECS",165720s (~1.92 days),"1S04T"
"341",71708,"SINCDVJOASUL","FALSA OCUPACAO CDV 1S02T INTERMITENTE",2018-02-07 14:11:00,2018-02-07 14:11:00,2018-02-16 08:51:00,"RECS",758400s (~1.25 weeks),"1S02T"
"342",74511,"SINCDVPAZ","FALSA OCUPACAO NO CDV 2S08-T",2018-04-18 10:59:00,2018-04-18 10:40:00,2018-04-18 13:52:00,"RECS",10380s (~2.88 hours),"2S08T"
"343",74856,"SINCDVNEV","FALSA OCUPACAO CONSTANTE NO CDV 1S01T.",2018-04-27 23:59:00,2018-04-27 23:59:00,2018-04-28 00:24:00,"NEV",1500s (~25 minutes),"1S01T"
"344",74859,"SINCDVNEV","FALSA OCUPACAO NO CDV 1N02-T",2018-04-27 06:23:00,2018-04-27 06:17:00,2018-04-27 07:52:00,"NEV",5340s (~1.48 hours),"1N02T"
"345",74986,"SINCDVSHO","AMV 8 BI POINT 3N03TTJ PROVOCA EMERGENCIA NO TUE AO OCUPAR CDV 1N04T",2018-04-30 21:58:00,2018-04-30 21:55:00,2018-04-30 23:28:00,"NEV",5400s (~1.5 hours),"1N04T"
"346",75344,"SINCDVGUA","BIPOINT A DO CDV 1N08T ACESSO (INTERMITENTE)",2018-05-10 10:31:00,2018-05-10 10:31:00,2018-05-10 14:14:00,"CAJ",13380s (~3.72 hours),"1N08T"
"347",75377,"SINCDVCAJ","FALSA OCUPACAO INTERMITENTE NO CDV 2N01T.",2018-05-10 19:25:00,2018-05-10 19:25:00,2018-05-11 12:45:00,"CAJ",62400s (~17.33 hours),"2N01T"
"348",75533,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 1S06T.",2018-05-15 05:30:00,2018-05-15 05:30:00,2018-05-15 13:56:00,"CAJ",30360s (~8.43 hours),"1S06T"
"349",75718,"SINCDVLAR","FALSA OCUPACAO CONSTANTE CDV 2N11T ",2018-05-18 13:25:00,2018-05-18 13:25:00,2018-05-18 15:06:00,"CAJ",6060s (~1.68 hours),"2N11T"
"350",75849,"SINCDVIMB","FALSA OCUPACAO NO CDV 1N13-T",2018-05-22 06:40:00,2018-05-22 06:15:00,2018-05-22 15:34:00,"NEV",32040s (~8.9 hours),"1N13T"
"351",76097,"SINCDVCAJ","CDV 2S03T COM FALSA OCUPACAO CONSTANTE",2018-05-29 11:07:00,2018-05-29 10:40:00,2018-06-01 22:15:00,"CAJ",299280s (~3.46 days),"2S03T"
"352",76213,"SINCDVCAJ","FALSA OCUPACAO NO CDV 2S03T",2018-06-01 12:53:00,2018-06-01 12:50:00,2018-06-01 15:22:00,"CAJ",8940s (~2.48 hours),"2S03T"
"353",76566,"SINCDVCAJ","FALSA OCUPACAO INTERMITENTE CDV 2N01T.",2018-06-11 11:36:00,2018-06-11 11:30:00,2018-06-19 16:15:00,"CAJ",707940s (~1.17 weeks),"2N01T"
"354",76694,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 1S05T",2018-06-13 14:39:00,2018-06-13 14:32:00,2018-06-14 14:46:00,"CAJ",86820s (~1 days),"1S05T"
