"","solicitacao","localizacao","descricao","tempo_abertura","tempo_falha","tempo_encerramento","cmt","tempo_duracao","cdv"
"167",40578,"SINCDVREC","BIPOINT 3S01T NO TRAVESSAO 21 DE REC SINALIZANDO CONSTANTE FECHANDO SINALEIROS DE REC.",2015-12-18 19:11:00,2015-12-18 19:03:00,2015-12-21 08:50:00,NA,221940s (~2.57 days),"3S01T"
"168",40587,"SINCDVRECSUL","BIPOINT 2S01T COM FALSA OCUPACAO CONSTANTE BLOQUEANDO O TRAVESSAO 02 EM REVERSO",2015-12-19 07:42:00,2015-12-19 07:39:00,2015-12-19 12:23:00,"RECS",16860s (~4.68 hours),"2S01T"
"169",40602,"SINCDVREC","FALSA OCUPACAO CONSTANTE NO CDV 2S01T.",2015-12-19 21:37:00,2015-12-19 21:34:00,2015-12-21 20:31:00,NA,168840s (~1.95 days),"2S01T"
"170",40612,"SINCDVNEV","FALSA OCUPACAO NO CDV 1S01T,FECHANDO SINALEIRO 7A ",2015-12-20 10:24:00,2015-12-20 10:24:00,2015-12-20 12:30:00,"NEV",7560s (~2.1 hours),"1S01T"
"171",40737,"SINCDVRECSUL","FALSA OCUPACAO NO CDV 2S01T",2015-12-23 09:54:00,2015-12-23 09:40:00,2015-12-23 12:21:00,"RECS",8820s (~2.45 hours),"2S01T"
"172",40781,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 2S03T ",2015-12-24 12:04:00,2015-12-24 12:00:00,2015-12-26 19:58:00,"RECS",201240s (~2.33 days),"2S03T"
"173",40899,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 2S03",2015-12-28 14:24:00,2015-12-28 14:45:00,2015-12-28 15:12:00,"RECS",2880s (~48 minutes),"2S03T"
"174",41007,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 2S03T.",2015-12-30 19:16:00,2015-12-30 19:11:00,2016-01-05 13:44:00,"RECS",498480s (~5.77 days),"2S03T"
"175",41182,"SINCDVREC","BI-POINT 3S01TCK ACEDENDO DE MODO INTERMITENTE (TRAVANDO ROTA)",2016-01-05 06:26:00,2016-01-05 06:20:00,2016-01-05 14:49:00,NA,30180s (~8.38 hours),"3S01T"
"176",41363,"SINCDVFAL","FALSA OCUPACAO CONSTANTE NOS CDV'S 2N06T, 2N05T, 2N04T, 2N037 E 2N02T",2016-01-09 10:11:00,2016-01-09 09:48:00,2016-01-09 13:34:00,"NEV",12180s (~3.38 hours),"2N06T-2N05T-2N04T-2N02T"
"177",41364,"SINCDVSHO","FALSA OCUPACAO NOS CDV'S 3N03T E 3N02T",2016-01-09 10:13:00,2016-01-09 09:48:00,2016-01-09 13:37:00,"NEV",12240s (~3.4 hours),"3N03T-3N02T"
"178",41384,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 2S03T.",2016-01-09 17:50:00,2016-01-09 17:42:00,2016-02-04 14:49:00,"RECS",2235540s (~3.7 weeks),"2S03T"
"179",41400,"SINCDVRECSUL","FALSA OCUPACAO CONSTANTE NO CDV 2N01T.",2016-01-09 20:40:00,2016-01-09 20:30:00,2016-01-11 14:10:00,"RECS",149400s (~1.73 days),"2N01T"
"180",42019,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 1S04T ENCIMA DA MAQUINA DE CHAVE 08 (EM REVERSO_",2016-01-25 11:05:00,2016-01-25 11:06:00,2016-01-25 14:58:00,"RECS",13980s (~3.88 hours),"1S04T"
"181",42248,"SINCDVGUA","FALSA OCUPACAO CONSTANTE NO CDV 1N08.",2016-01-29 20:37:00,2016-01-29 19:52:00,2016-02-01 20:40:00,"CAJ",259380s (~3 days),"1N08T"
"182",42298,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 1N02T",2016-01-30 05:13:00,2016-01-30 05:13:00,2016-02-04 14:44:00,"CAJ",466260s (~5.4 days),"1N02T"
"183",42306,"SINCDVGUA","FALSA OCUPACAO NO CDV 1N08-T",2016-01-30 08:47:00,2016-01-30 07:55:00,2016-01-30 14:00:00,"CAJ",18780s (~5.22 hours),"1N08T"
"184",42349,"SINCDVIMB","FALSA OCUPACAO NO CDV 1N 11T E 2N 11T",2016-01-31 12:46:00,2016-01-31 12:46:00,2016-02-01 15:45:00,"NEV",97140s (~1.12 days),"1N11T-2N11T"
"185",42404,"SINCDVIMB","FALSA OCUPACAO NOS CDV'S 1N 11T E 2N 11T (BI POINT TRAVESAO 4 ACESO)",2016-02-01 21:10:00,2016-02-01 21:05:00,2016-02-04 16:27:00,"NEV",242220s (~2.8 days),"1N11T-2N11T"
"186",42422,"SINCDVSHO","FALSA OCUPACAO CONSTANTE NO CDV 3N01T",2016-02-02 06:07:00,2016-02-02 06:07:00,2017-12-19 14:55:00,"NEV",59302080s (~1.88 years),"3N01T"
"187",42450,"SINCDVCAJ","CODIGO 0 NO CDV 2N02T",2016-02-02 13:22:00,2016-02-02 13:22:00,2016-02-04 16:32:00,"CAJ",184200s (~2.13 days),"2N02T"
"188",42531,"SINCDVCAJ","FALSA OCUPACAO NO CDV 1S03T",2016-02-04 05:37:00,2016-02-04 05:35:00,2016-02-04 16:50:00,"CAJ",40380s (~11.22 hours),"1S03T"
"189",42565,"SINCDVIMB","FALSA OCUPACAO INTERMITENTE NO CDV 2N11T VIA 2 E 1N11T VIA 1.",2016-02-04 22:51:00,2016-02-04 22:47:00,2016-02-05 14:35:00,"NEV",56640s (~15.73 hours),"2N11T-1N11T"
"190",42627,"SINCDVIMB","FALSA OCUPACAO NO CDV 2N13T",2016-02-06 11:00:00,2016-02-06 10:20:00,2016-02-06 11:53:00,"NEV",3180s (~53 minutes),"2N13T"
"191",42882,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 1S09T",2016-02-15 05:34:00,2016-02-15 05:18:00,2016-02-15 09:27:00,"RECS",13980s (~3.88 hours),"1S09T"
"192",43297,"SINCDVNEV","FALSA COPACAO CONSTANTE NOS CDV'S: 2N06T, 2N05T, 2N04T, 2N03T, 2N02T. DE NORTE DE NEV ATE FAL 2",2016-02-21 07:13:00,2016-02-21 07:00:00,2016-02-21 10:36:00,"NEV",12180s (~3.38 hours),"2N06T-2N05T-2N04T-2N03T-2N02T"
"193",43298,"SINCDVSHO","FALSA CONSTANTE NOS CDV'S3N03T E 3N02T",2016-02-21 07:18:00,2016-02-21 07:00:00,2016-02-21 10:41:00,"NEV",12180s (~3.38 hours),"3N03T-3N02T"
"194",43652,"SINCDVRECSUL","BI POINT 3S01T FECHANDO SINALEIRO 01C.",2016-02-29 23:05:00,2016-02-29 23:00:00,2016-03-01 13:31:00,"RECS",51960s (~14.43 hours),"3S01T"
"195",43664,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 3 S04T",2016-03-01 10:30:00,2016-03-01 10:24:00,2016-03-01 13:58:00,"RECS",12480s (~3.47 hours),"3S04T"
"196",43666,"SINCDVRECSUL","FALHA NO BIPOINTE DO CDB 1S03T FALHA INTERMITENTE",2016-03-01 10:38:00,2016-03-01 10:38:00,2016-03-01 14:12:00,"RECS",12840s (~3.57 hours),"1S03T"
"197",43751,"SINCDVJOA","FALSA OCUPACAO NO CDV 3S04T ",2016-03-03 03:21:00,2016-03-03 03:18:00,2016-03-03 12:06:00,NA,31500s (~8.75 hours),"3S04T"
"198",43925,"SINCDVJOA","BI POINT 2S04T REC OCUPADO CONSTANTEMENTE",2016-03-07 17:50:00,2016-03-07 17:34:00,2017-12-19 14:56:00,NA,56322360s (~1.78 years),"2S04T"
"199",44165,"SINCDVLAR","FALSA OCUPACAO NOS CDV'S 2N13T,2N12T, 2N11T, 2N10T, VIA 1 1N13T, 1N12T, 1N11T, 1N10T, 1N09T, VIA 2",2016-03-13 01:54:00,2016-03-13 01:40:00,2016-03-13 06:43:00,"CAJ",17340s (~4.82 hours),"2N13T-2N12T-2N11T-2N10T-1N13T-1N12T-1N11T-1N10T-1N09T"
"200",44252,"SINCDVSHO","BIPOINT A DO CDV 3N02-T ATIVADO INDEVIDAMENTE",2016-03-15 10:22:00,2016-03-15 09:04:00,2016-03-15 14:25:00,"NEV",14580s (~4.05 hours),"3N02T"
"201",44358,"SINCDVFAL","BI-POINT 1N06T-A ACESO CONSTANTIMENTE",2016-03-17 00:54:00,2016-03-17 00:54:00,2016-03-18 13:11:00,"NEV",130620s (~1.51 days),"1N06T"
"202",44377,"SINCDVSHO","CODIGO 0 NO CDV 1N04T",2016-03-17 11:38:00,2016-03-17 11:26:00,2016-03-18 13:23:00,"NEV",92700s (~1.07 days),"1N04T"
"203",44552,"SINCDVNEV","CODIGO 0 NO CDV 1S01-T",2016-03-21 11:56:00,2016-03-21 11:56:00,2016-05-13 10:12:00,"NEV",4572960s (~7.56 weeks),"1S01T"
"204",44611,"SINCDVJOASUL","FALSA OCUPACAO NO CDV 2S03-T",2016-03-22 07:58:00,2016-03-22 07:40:00,2016-03-22 14:48:00,"RECS",24600s (~6.83 hours),"2S03T"
"205",44756,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE NO CDV 1S09T.",2016-03-25 17:01:00,2016-03-25 16:49:00,2016-03-25 21:12:00,"RECS",15060s (~4.18 hours),"1S09T"
"206",44771,"SINCMTMUXNEV","AO ALINHAR O CICLO ASPRESENTA AS FALSAS OCUPACOES NOS CDV'S: 2N11T,2N10T, 1N11T. FECHA SINALEIRO 4A E 4C.",2016-03-26 07:00:00,2016-03-26 06:02:00,2016-03-29 06:20:00,"NEV",256800s (~2.97 days),"2N11T-2N10T-1N11T"
"207",44789,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 1S09T.",2016-03-26 15:34:00,2016-03-26 15:32:00,2016-03-26 21:03:00,"RECS",19740s (~5.48 hours),"1S09T"
"208",44815,"SINCDVIMB","FALSA OCUPACAO CONSTANTE NO CDV 1N10T.",2016-03-28 04:47:00,2016-03-28 04:33:00,2016-03-29 06:15:00,"NEV",91680s (~1.06 days),"1N10T"
"209",45324,"SINCDVREC","BI-POINT 3S01TC INDICANDO GVS IMPEDINDO MOVIMENTACAO DO TRAVESSAO 21 QUE IMPEDE ABERTURA DO SINALEIRO 1C E 1A",2016-04-07 12:38:00,2016-04-07 12:38:00,2016-04-08 13:32:00,NA,89640s (~1.04 days),"3S01T"
"210",45346,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 1S09T.",2016-04-07 17:42:00,2016-04-07 17:31:00,2016-04-08 14:43:00,"RECS",75660s (~21.02 hours),"1S09T"
"211",45422,"SINCDVREC","ATUACAO INDEVIDA DO BIPOINT 3S01T.",2016-04-09 14:25:00,2016-04-09 14:06:00,2016-04-13 07:38:00,NA,321180s (~3.72 days),"3S01T"
"212",45458,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 1S05-T",2016-04-11 07:18:00,2016-04-11 06:30:00,2016-04-11 11:47:00,"CAJ",16140s (~4.48 hours),"1S05T"
"213",45503,"SINCDVNEV","FALSA OCUPACAO CONSTANTE NO CDV 2S01T.",2016-04-11 22:19:00,2016-04-11 22:11:00,2016-06-21 11:03:00,"NEV",6093840s (~10.08 weeks),"2S01T"
"214",46009,"SINCDVIMB","FALSA OCUPACAO INTERMITENTE NO CDV 1N11T.",2016-04-21 14:21:00,2016-04-21 14:06:00,2016-04-23 12:11:00,"NEV",165000s (~1.91 days),"1N11T"
"215",46010,"SINCDVIMB","FALSA OCUPACAO INTERMITENTE NOS CDV'S 2N11T E 2N10T.",2016-04-21 14:23:00,2016-04-21 14:06:00,2016-04-23 12:56:00,"NEV",167580s (~1.94 days),"2N11T-2N10T"
"216",46035,"SINCDVPTO","FALSA OCUPACAO NO CDV 2S01T, IMPEDE A ABERTURA DO SINALEIRO 07C",2016-04-22 06:45:00,2016-04-22 06:30:00,2016-04-23 12:24:00,"NEV",106740s (~1.24 days),"2S01T"
"217",46232,"SINCDVIMB","FALSA OCUPACAO CDV 2N10T CAUSA FALSAS OCUPACOES NOS CDV´S 1N12T,2N11T E 1N10T",2016-04-27 06:55:00,2016-04-27 06:40:00,2016-08-04 08:27:00,"NEV",8559120s (~14.15 weeks),"2N10T-1N12T-2N11T-1N10T"
"218",46269,"SINCDVNEV","FALSAS OCUPACOES CDV´S 2N02T,2N03T,2N04T,2N06T E 2N07T ( FOI TROCA DE CARTAO )",2016-04-28 07:47:00,2016-04-28 07:45:00,2016-04-29 12:53:00,"NEV",104760s (~1.21 days),"2N02T-2N03T-2N04T-2N06T-2N07T"
"219",46318,"SINCDVNEV","FALSAS OCUPACOES GENERALIZADAS NOS SEGUINTES CDV´S:FAL-2N06T VIA 2; SHO- 2N05T VIA 2; NEV - 2N04T, 3N03T E 3N02T ZONA DE MANOBRA NEV ; 2N03T E 2N02T VIA 2",2016-04-29 02:39:00,2016-04-29 02:39:00,2016-04-29 05:35:00,"NEV",10560s (~2.93 hours),"2N06T-2N05T-2N04T-3N03T-3N02T-2N03T-2N02T"
"220",46796,"SINCDVCAJ","FALSA OCUPACAO INTERMITENTE NO CDV 1N02T. OBS: FECHANDO O SINALEIRO 10",2016-05-10 17:27:00,2016-05-10 17:24:00,2016-05-11 13:54:00,"CAJ",73620s (~20.45 hours),"1N02T"
"221",46885,"SINCDVNEV","FALSA OCUPACAO CONSTANTE NO CDV 2S01T.",2016-05-11 22:45:00,2016-05-11 22:42:00,2016-05-13 09:56:00,"NEV",126660s (~1.47 days),"2S01T"
"222",46992,"SINCDVREC","FALSA OCUPACAO CONSTANTE CDV 1S01T.",2016-05-13 11:17:00,2016-05-13 11:13:00,2016-05-13 13:08:00,NA,6660s (~1.85 hours),"1S01T"
"223",47349,"SINCDVNEV","FALSA OCUPACAO NOS CDV'S 2N02T,2N04T,2N05T,2N06T E 3N02T. ",2016-05-24 09:08:00,2016-05-24 09:05:00,2016-05-25 06:38:00,"NEV",77400s (~21.5 hours),"2N02T-2N04T-2N05T-2N06T-3N02T"
"224",47627,"SINCDVPTO","CDV 1N13T O 1º A SUL DE PTO 01 COM FALSA OCUPACAO INTERMITENTE",2016-05-31 10:19:00,2016-05-31 10:19:00,2016-05-31 14:17:00,"NEV",14280s (~3.97 hours),"1N13T"
"225",47871,"SINCDVCAJ","BIPOINT 2N03TA ATUANDO INDEVIDAMENTE DE FORMA INTERMITENTE FECHANDO O SINALEIRO 10C",2016-06-06 09:37:00,2016-06-06 08:48:00,2016-06-06 21:55:00,"CAJ",44280s (~12.3 hours),"2N03T"
"226",48073,"SINCDVSHO","BIPOINT A NO CDV 3N02T ACIONANDO INDEVIDAMENTE",2016-06-09 06:33:00,2016-06-09 06:22:00,2016-06-10 13:58:00,"NEV",113100s (~1.31 days),"3N02T"
"227",48114,"SINCDVPAZ","FALSA OCUPACAO NO CDV 1N14T",2016-06-10 05:59:00,2016-06-10 05:59:00,2016-06-10 13:48:00,"RECS",28140s (~7.82 hours),"1N14T"
"228",48198,"SINTRV04RECLS","TRAVESSAO 04 PERDE CORRESPONDENCIA QUANDO O CDV 2S01T ESTA OCUPADO",2016-06-11 13:54:00,2016-06-11 13:52:00,2016-06-11 20:12:00,NA,22680s (~6.3 hours),"2S01T"
"229",48536,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 1S09T.",2016-06-20 21:48:00,2016-06-20 21:44:00,2016-06-22 14:11:00,"RECS",145380s (~1.68 days),"1S09T"
"230",48588,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE NO CDV 1S09T. OBS: ROUBANDO IDENTIFICACAO DOS TRENS.",2016-06-22 15:05:00,2016-06-22 15:00:00,2016-06-27 21:01:00,"RECS",453360s (~5.25 days),"1S09T"
"231",48750,"SINCDVLAR","FALSA OCUPACAO CONSTANTE NO CDV 2N11T",2016-06-28 03:17:00,2016-06-28 03:10:00,2016-06-28 05:35:00,"CAJ",8280s (~2.3 hours),"2N11T"
"232",49125,"SINCDVLAR","FALSA OCUPACAO CONSTANTE NOS CDV´S 2N12T E 2N11T. OBS: PROVOCADO PELA NIVELADORA ",2016-07-08 01:31:00,2016-07-08 02:15:00,2016-07-11 15:29:00,"CAJ",309480s (~3.58 days),"2N12T-2N11T"
"233",49205,"SINCDVPTO","FALSA OCUPACAO CONSTANTE CDV 2N12T. FECHANDO O SINALEIRO DE LAR 2",2016-07-10 05:20:00,2016-07-10 05:17:00,2016-07-10 11:57:00,"NEV",23820s (~6.62 hours),"2N12T"
"234",49461,"SINCDVLAR","FALSA OCUPACAO CDV'S 2N13T,2N12T,2N11T,2N10T,2N9T VIA-2; 1N13T,1N12T,1N11T,1N10T,1N9T VIA-1. (APOS MANOBRDO 13.8)",2016-07-16 02:18:00,2016-07-16 02:06:00,2016-07-16 06:00:00,"CAJ",13320s (~3.7 hours),"2N13T-2N12T-2N11T-2N10T-1N13T-1N12T-1N11T-1N10T"
"235",49942,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE NO CDV 1S09T INTERMITENTE",2016-07-28 09:17:00,2016-07-28 09:15:00,2016-07-28 14:11:00,"RECS",17640s (~4.9 hours),"1S09T"
"236",50209,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NOS CDV´S 1N14T ATE 1N7T DE PAZ A FAL",2016-08-05 08:19:00,2016-08-05 08:15:00,2016-08-08 07:36:00,"RECS",256620s (~2.97 days),"1N14T"
"237",50387,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE NO CDV 1N14T",2016-08-10 11:57:00,2016-08-10 10:47:00,2016-08-11 13:54:00,"RECS",93420s (~1.08 days),"1N14T"
"238",50768,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 1N14T.",2016-08-19 19:34:00,2016-08-19 19:29:00,2016-08-19 21:17:00,"RECS",6180s (~1.72 hours),"1N14T"
"239",51570,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE NO CDV 1S09T.",2016-09-09 21:01:00,2016-09-09 20:43:00,2016-09-09 21:41:00,"RECS",2400s (~40 minutes),"1S09T"
"240",51896,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 1S09T.",2016-09-19 03:27:00,2016-09-19 03:23:00,2016-09-19 14:39:00,"RECS",40320s (~11.2 hours),"1S09T"
"241",52028,"SINCDVCAJ","CODIGO 0 NO CDV 1S01T PROXIMO AO TRAVESSAO 08",2016-09-22 07:40:00,2016-09-22 07:23:00,2016-09-23 06:34:00,"CAJ",82440s (~22.9 hours),"1S01T"
"242",52098,"SINCDVCAJ","FALSA OCUPACAO PISCANTE NO CDV 1N02T. 1 A NORTE DA VIA 01",2016-09-23 08:30:00,2016-09-23 07:47:00,2016-09-27 13:16:00,"CAJ",362760s (~4.2 days),"1N02T"
"243",52416,"SINCDVRECSUL","FALSA OCUPACAO CDV 1S02 T",2016-09-30 14:33:00,2016-09-30 14:00:00,2016-09-30 18:40:00,"RECS",14820s (~4.12 hours),"1S02T"
"244",52552,"SINCDVLAR","F.O NOS CDV´S 2N09T,2N107,2N11T,2N12T E 2N13T",2016-10-05 10:18:00,2016-10-05 01:48:00,2016-10-06 13:04:00,"CAJ",96360s (~1.12 days),"2N09T-2N11T-2N12T-2N13T"
"245",53082,"SINCDVJOA","FALSA OCUPACAO INTERMITENTE NO CDV 1S06T.",2016-10-12 17:17:00,2016-10-12 17:03:00,2016-10-17 19:21:00,NA,439440s (~5.09 days),"1S06T"
"246",53167,"SINCDVLAR","FALSA OCUPACAO INTERMITENTE NO CDV 2N11T.",2016-10-14 13:29:00,2016-10-14 13:14:00,2016-10-25 11:18:00,"CAJ",942540s (~1.56 weeks),"2N11T"
"247",54053,"SINCDVLAR","FALSA OCUPACAO NO CDV 2N11T",2016-11-05 17:54:00,2016-11-05 17:46:00,2017-06-07 14:32:00,"CAJ",18477480s (~30.55 weeks),"2N11T"
"248",54242,"SINCDVJOA","FALSA OCUPACAO INTERMITENTE NO CDV 2S04T. FECHANDO SINALEIRO 2C E 2A.",2016-11-10 12:44:00,2016-11-10 12:44:00,2016-11-10 15:16:00,NA,9120s (~2.53 hours),"2S04T"
"249",54609,"SINCDVJOASUL","FALSA OCUPACAO NO CDV 1S06-T",2016-11-21 06:08:00,2016-11-21 06:05:00,2016-11-21 13:58:00,"RECS",28200s (~7.83 hours),"1S06T"
"250",54645,"SINCDVJOA","FALSA OCUPACAO INTERMITENTE NO CDV 1S06T.",2016-11-21 18:48:00,2016-11-21 18:43:00,2016-11-22 11:24:00,NA,59760s (~16.6 hours),"1S06T"
"251",54649,"SINCDVCAJ","FALSA OCUPACAO PISCANTE NO CDV 1N02T . OBS: RETIRANDO IDENTIFICACAO DO TREM.",2016-11-21 20:33:00,2016-11-21 20:28:00,2016-11-22 11:19:00,"CAJ",53160s (~14.77 hours),"1N02T"
"252",54692,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 1S06T",2016-11-22 18:12:00,2016-11-22 18:03:00,2016-11-23 13:24:00,"RECS",69120s (~19.2 hours),"1S06T"
"253",54821,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 1S09T.",2016-11-26 00:05:00,2016-11-26 00:05:00,2016-11-26 05:52:00,"RECS",20820s (~5.78 hours),"1S09T"
"254",54830,"SINCDVPAZ","FALSA OCUPACAO PISCANTE NO CDV 1S09T",2016-11-26 10:35:00,2016-11-26 09:00:00,2016-12-12 13:57:00,"RECS",1394520s (~2.31 weeks),"1S09T"
"255",55136,"SINCDVLAR","FALSA OCUPACAO INTERMITENTE NO CDV 2N11T, O 1º A NORTE DE LAR 02",2016-12-03 09:09:00,2016-12-03 09:00:00,2016-12-12 14:00:00,"CAJ",795060s (~1.31 weeks),"2N11T"
"256",55150,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 1S04T, BLOQUEANDO O TRAVESSAO 10 E A MAQUINA DE CHAVE 08",2016-12-03 12:57:00,2016-12-03 13:15:00,2016-12-12 14:05:00,"RECS",781680s (~1.29 weeks),"1S04T"
"257",55389,"SINCDVJOA","FALSA OCUPACAO INTERMITENTE NO CDV 1S06T.",2016-12-09 22:11:00,2016-12-09 22:05:00,2016-12-12 14:10:00,NA,230340s (~2.67 days),"1S06T"
"258",55423,"SINCDVCAJ","FALSA OCUPACAO INTERMITENTE NO CDV 1N02T FECHANDO SINALEIRO 10",2016-12-12 05:18:00,2016-12-12 05:14:00,2016-12-12 14:17:00,"CAJ",32340s (~8.98 hours),"1N02T"
"259",55539,"SINCDVJOA","FALSA OCUPACAO CONSTANTE NO CDV 1S04T.",2016-12-14 12:23:00,2016-12-14 12:23:00,2017-01-24 11:49:00,NA,3540360s (~5.85 weeks),"1S04T"
"260",55545,"SINCDVLAR","FALSA OCUPACAO CONSTANTE NO CDV 2N11T. FECHA SINALEIRO 08C.",2016-12-14 15:48:00,2016-12-14 15:42:00,2016-12-21 18:06:00,"CAJ",613080s (~1.01 weeks),"2N11T"
"261",55779,"SINCDVREC","FALSA OCUPACAO PISCANTE NO CDV 1S04T PROXIMO A MAQUINA DE CHAVE 10A E AMV 8",2016-12-20 11:15:00,2016-12-20 11:15:00,2016-12-21 18:18:00,NA,111780s (~1.29 days),"1S04T"
"262",55818,"SINCDVJOA","FALSA OCUPACAO INTERMITENTE NO CDV 1S06T. 1º A SUL DE JOA VIA 01",2016-12-21 08:40:00,2016-12-21 07:41:00,2016-12-21 13:19:00,NA,16740s (~4.65 hours),"1S06T"
"263",55880,"SINCDVJOASUL","FALSA OCUPACAO CONSTANTE NO CDV 1S06T.",2016-12-22 18:00:00,2016-12-22 17:53:00,2017-01-25 13:08:00,"RECS",2920080s (~4.83 weeks),"1S06T"
"264",55961,"SINCDVCAJ","FALSA OCUPACAO NO CDV 2S01-T",2016-12-25 09:44:00,2016-12-25 09:44:00,2017-01-25 11:06:00,"CAJ",2683320s (~4.44 weeks),"2S01T"
"265",56140,"SINCDVPAZ","FALSA OCUPACAO CONSTANT NO CDV 1S09T. PLATAFORMA 01 VIA 01",2016-12-29 10:47:00,2016-12-29 10:40:00,2017-01-06 09:31:00,"RECS",686640s (~1.14 weeks),"1S09T"
"266",56273,"SINCDVJOASUL","FALSA OCUPACAO CONSTANTE NO CDV 1S06T.",2017-01-02 17:35:00,2017-01-02 17:27:00,2017-01-26 10:19:00,"RECS",2047440s (~3.39 weeks),"1S06T"
"267",56310,"SINCDVJOA","FALSA OCUPACAO INTERMITENTE NO CDV 1S04T.",2017-01-03 19:30:00,2017-01-03 12:29:00,2017-01-24 10:01:00,NA,1780260s (~2.94 weeks),"1S04T"
"268",56352,"SINCDVJOA","FALSA OCUPACAO CONSTANTE NO CDV 1S04T",2017-01-04 15:40:00,2017-01-04 12:00:00,2017-01-24 10:07:00,NA,1708020s (~2.82 weeks),"1S04T"
"269",56426,"SINCDVPAZ","FALSA OCUPACAO NO CDV 1S09-T",2017-01-06 11:04:00,2017-01-06 10:52:00,2017-01-12 14:54:00,"RECS",532200s (~6.16 days),"1S09T"
"270",56604,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 1N14T",2017-01-11 09:56:00,2017-01-11 09:47:00,2017-01-11 14:42:00,"RECS",17160s (~4.77 hours),"1N14T"
"271",56646,"SINCDVREC","FALSA OCUPACAO INTERMITENTE NO CDV 1S04T (CDV SOBRE A MAQUINA DE CHAVE 8).",2017-01-12 14:01:00,2017-01-12 13:13:00,2017-01-13 20:56:00,NA,111300s (~1.29 days),"1S04T"
"272",56725,"SINCDVJOASUL","FALSA OCUPACAO CDV 1S04T",2017-01-14 12:20:00,2017-01-14 12:20:00,2017-01-24 11:50:00,"RECS",862200s (~1.43 weeks),"1S04T"
"273",56746,"SINCDVCAJ","FALSA OCUPACAO NO CDV 1N02-T",2017-01-15 07:54:00,2017-01-15 07:16:00,2017-01-15 19:20:00,"CAJ",41160s (~11.43 hours),"1N02T"
"274",57690,"SINCDVJOA","CDV 1S04T COM FALSA OCUPACAO CONSTANTE FECHANDO SINALEIRO 2A",2017-02-07 11:33:00,2017-02-07 11:02:00,2017-04-25 09:23:00,NA,6645000s (~10.99 weeks),"1S04T"
"275",58280,"SINCDVPAZ","CDV 1S09T COM FALSA OCUPACAO INTERMITENTE",2017-02-23 11:21:00,2017-02-23 09:55:00,2017-02-24 15:27:00,"RECS",101160s (~1.17 days),"1S09T"
"276",58315,"SINCDVCAJ","CODIGO ZERO CONSTANTE NO CDV 2N02T",2017-02-24 11:42:00,2017-02-24 11:28:00,2017-02-24 15:54:00,"CAJ",15120s (~4.2 hours),"2N02T"
"277",58318,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE NO CDV 2S09T.",2017-02-24 12:56:00,2017-02-24 12:56:00,2017-02-25 19:06:00,"RECS",108600s (~1.26 days),"2S09T"
"278",58508,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE 2S08T",2017-03-02 09:23:00,2017-03-02 09:23:00,2017-03-02 14:53:00,"RECS",19800s (~5.5 hours),"2S08T"
"279",58814,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 2S03-T",2017-03-09 08:29:00,2017-03-09 06:50:00,2017-03-09 14:53:00,"RECS",23040s (~6.4 hours),"2S03T"
"280",58815,"SINCDVJOASUL","FALSA OCUPACAO NO CDV 1S06-T",2017-03-09 08:36:00,2017-03-09 06:50:00,2017-03-09 14:50:00,"RECS",22440s (~6.23 hours),"1S06T"
"281",58843,"SINCDVPAZ","FALSA OCUPACAO NO CDV 2S08T CONSTANTE",2017-03-09 16:50:00,2017-03-09 16:28:00,2017-03-10 15:41:00,"RECS",82260s (~22.85 hours),"2S08T"
"282",58879,"SINCDVSHO","FALSA OCUPACAO INTERMITENTE COM PERDA DE IDENTIDADE NO CDV 1S05T",2017-03-10 14:45:00,2017-03-10 14:45:00,2017-03-13 21:47:00,"NEV",284520s (~3.29 days),"1S05T"
